Name,Branche,Ort,PLZ,Fahrtdistanz,,,,,,,
Bacardi Martini Patrón International GmbH,Consumer Goods & Retail,Schaffhausen,8200,2,,,,,,,
AZAD Pharma AG (ex Cilag),Life Science & Health Care,Schaffhausen,8200,3,,,,,,,
Cilag AG/Janssen (Johnson & Johnson Gruppe),Life Science & Health Care,Schaffhausen,8200,6,,,,,,,
Cabot Switzerland GmbH,Industrial Products & Services,Schaffhausen,8200,4,,,,,,,
Ewopharma AG,Life Science & Health Care,Schaffhausen,8200,4,,,,,,,
Medipack AG,Industrielle Produkte und Dienstleistungen,Schaffhausen,8200,5,,,,,,,
Merck Performance Materials (Schweiz) AG (Merck Gruppe),Industrielle Produkte und Dienstleistungen,Schaffhausen,8200,6,,,,,,,
"Noramco GmbH (ex Cilag, Johnson & Johnson Gruppe)",Transportation & Logistics,Neuhausen am Rheinfall,8212,6,,,,,,,
Pharmacyclics Switzerland GmbH (AbbVie Gruppe),Life Science & Health Care,Schaffhausen,8200,4,,,,,,,
PharmKor AG (Yonsung Fine Chemicals Gruppe),Industrial Products & Services,Schaffhausen,8200,1,,,,,,,
Physeon GmbH (TG von Novintum Medical Technology GmbH (SH)),Life Science & Health Care,Schaffhausen,8200,4,,,,,,,
Suisse Technology Partners AG,Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
Synbias Pharma AG,Life Science & Health Care,Schaffhausen,8200,3,,,,,,,
Théa PHARMA S.A. (Théa Gruppe),Life Science & Health Care,Schaffhausen,8200,2,,,,,,,
STORZ Endoskop Produktions GmbH (KARL STORZ Gruppe),Industrial Products & Services,Schaffhausen,8200,9,,,,,,,
Viendis AG (JV zwischen STORZ und Brütsch),Industrial Products & Services,Uhwiesen (wird Beringen),8248,7,,,,,,,
ASP Global GmbH (Fortive Group),Information and Communication Technology,Schaffhausen,8207,8,,,,,,,
Bariatric Solutions GmbH (TG der Q-Medical International (SH)),Industrial Products & Services,Stein am Rhein,8260,20,,,,,,,
Biotage Switzerland GmbH,Transport und Logistik,Neuhausen am Rheinfall,8200,4,,,,,,,
ConvaTec International Services GmbH,Consumer Goods & Retail,Schaffhausen,8200,4,,,,,,,
CTI Vascular AG,Life Science & Health Care,Neuhausen am Rheinfall,8212,7,,,,,,,
Gebrüder Renggli AG,Life Science & Health Care,Schaffhausen,8200,9,,,,,,,
IVF Hartmann AG (Hartmann Gruppe),Life Science & Health Care,Neuhausen am Rheinfall,8212,7,,,,,,,
KEBO AG,Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
Metoxit AG,Industrial Products & Services,Thayngen,8240,13,,,,,,,
Stamm AG Hallau (SFS Gruppe),Industrial Products & Services,Hallau,8215,17,,,,,,,
STRATEC Biomedical Switzerland AG (STRATEC Gruppe),Life Science & Health Care,Beringen,8222,8,,,,,,,
S & T AG,Consumer Goods & Retail,Neuhausen am Rheinfall,8212,11,,,,,,,
Weibel CDS AG (SHL Medical Gruppe),Consumer Goods & Retail,Schaffhausen,8200,2,,,,,,,
Brütsch Elektronik AG,Industrial Products & Services,Beringen,8222,7,,,,,,,
Citrix Systems International GmbH (Citrix Gruppe),Industrial Products & Services,Neuhausen am Rheinfall,8200,4,,,,,,,
IRTECH GmbH,Information and Communication Technology,Neuhausen am Rheinfall,8212,7,,,,,,,
Linum Labs AG,Consumer Goods & Retail,Schaffhausen,8200,4,,,,,,,
Meltwater News International GmbH (Meltwater Gruppe),Information and Communication Technology,Schaffhausen,8200,4,,,,,,,
Rhyno Solutions GmbH,Civil Economics,Schaffhausen,8200,5,,,,,,,
SIT Alemira Switzerland AG,Education,Schaffhausen,8200,4,,,,,,,
Bristlecone International AG,Information and Communication Technology,Neuhausen am Rheinfall,8200,5,,,,,,,
Capita Customer Services AG (Capita UK Gruppe),Civil Economics,Schaffhausen,8200,5,,,,,,,
Dragonfish Analytics GmbH,Information and Communication Technology,Schaffhausen,8200,3,,,,,,,
Terex Global GmbH (Terex Gruppe),Consumer Goods & Retail,Schaffhausen,8200,5,,,,,,,
Tektronix International Sales GmbH (Fortive Gruppe),Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
Vetter GmbH,Energy & Utilities,Schaffhausen,8200,6,,,,,,,
Murrelektronik AG (TG der Murrelektronik GmbH (DE)),Energy & Utilities,Beringen,8222,11,,,,,,,
Walter+Bai AG,Industrial Products & Services,Löhningen,8224,15,,,,,,,
BBC Bircher AG (BBC Gruppe),Industrial Products & Services,Beringen,8222,11,,,,,,,
Conica AG (Serafin Gruppe),Life Science & Health Care,Schaffhausen,8207,6,,,,,,,
Albany International Europe GmbH (Albany Gruppe),Industrial Products & Services,Neuhausen am Rheinfall,8212,10,,,,,,,
Kennametal Europe GmbH (Kennametal Gruppe),Industrial Products & Services,Neuhausen am Rheinfall,8212,9,,,,,,,
WEFA Swiss AG (WEFA Gruppe),Industrial Products & Services,Thayngen,8240,12,,,,,,,
Hydrowatt AG,Industrial Products & Services,Schaffhausen,8200,8,,,,,,,
Profine Schweiz AG (Profine Gruppe),Industrial Products & Services,Schaffhausen,8207,6,,,,,,,
Sigerist GmbH,Industrial Products & Services,Schaffhausen,8207,7,,,,,,,
Georg Fischer Casting Solutions,Industrial Products & Services,Schaffhausen,8201,5,,,,,,,
Georg Fischer Machining Solutions,Industrial Products & Services,Schaffhausen,8201,5,,,,,,,
Georg Fischer AG,Industrial Products & Services,Schaffhausen,8201,5,,,,,,,
Brauerei Falken AG,Agriculture & Food,Schaffhausen,8200,5,,,,,,,
Wunder-Baum AG (Wunder-Baum Gruppe),Consumer Goods & Retail,Thayngen,8240,12,,,,,,,
Moser Schaffhausen AG,Consumer Goods & Retail,Neuhausen am Rheinfall,8212,6,,,,,,,
Furrer-Jacot AG,Consumer Goods & Retail,Schaffhausen,8200,3,,,,,,,
Kessler Werkzeugbau AG,Industrial Products & Services,Trasadingen,8219,22,,,,,,,
BB Biotech AG,Civil Economics,Schaffhausen,8200,3,,,,,,,
accelopment Management AG,Civil Economics,Zürich,8008,57,,,,,,,
Bewerbung.ch,Civil Economics,Schaffhausen,8200,5,,,,,,,
Virtuozzo International GmbH,Civil Economics,Schaffhausen,8200,2,,,,,,,
App Manufacture GmbH,Information and Communication Technology,Schaffhausen,8200,2,,,,,,,
Medical Thinking Systems,Civil Economics,Stein am Rhein,8260,30,,,,,,,
Monopac AG,Industrial Products & Services,Schaffhausen,8207,6,,,,,,,
